Comment,Designator,Footprint,LCSC,Quantity
0.1u,"C2,C3,C4,C5,C7,C8,C9",C_0402_1005Metric,C1525,7
4n7,C1,C_0402_1005Metric,C1538,1
0.33u,C6,C_0603_1608Metric,C1615,1
LED_Small,D1,LED_0603_1608Metric,C2286,1
LED_Small,D2,LED_0603_1608Metric,C2290,1
Green,D3,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2297,1
10,"R10,R7,R8",R_0402_1005Metric,C25077,3
150,R9,R_0402_1005Metric,C25082,1
470,R4,R_0402_1005Metric,C25117,1
10k,"R12,R13,R14",R_0402_1005Metric,C25744,3
220k,R11,R_0402_1005Metric,C25767,1
4k7,"R3,R5,R6",R_0402_1005Metric,C25900,3
5k1,"R1,R2",R_0402_1005Metric,C25905,2
ISO7741DWR,U2,SOIC127P1030X265-16N,C571196,1
SP485EEN-L/TR,U4,NSOIC-8,C6855,1
78L05G-AB3-R,U3,SOT-89-3,C71136,1
Conn_01x03,J3,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,,1
Conn_01x03,J5,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,,1
Conn_01x04,J6,Molex_SPOX_5267-04A_1x04_P2.50mm_Vertical,,1
Conn_01x04,J4,Molex_SPOX_5267-04A_1x04_P2.50mm_Vertical,,1
TC7WH241FK,U5,MSOP-8_3x3mm_P0.65mm,,1
74AHC1G08,U6,SOT-23-5_HandSoldering,,1
USB_C_Receptacle_USB2.0_16P,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,1
XT60,J1,AMASS_XT60-F_1x02_P7.20mm_Vertical,,1
Conn_01x04,J7,Molex_SPOX_5267-04A_1x04_P2.50mm_Vertical,,1
Resettable Fuse,F1,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1
47u,C10,CP_Radial_D5.0mm_P2.00mm,,1
CH340E,U1,MSOP-10_3x3mm_P0.5mm,,1
