Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4n7,C_0402_1005Metric,111.407,-96.352,180.0,top
C10,47u,CP_Radial_D5.0mm_P2.00mm,114.03,-72.222,180.0,top
C2,0.1u,C_0402_1005Metric,117.856,-95.209,0.0,top
C3,0.1u,C_0402_1005Metric,119.4545,-91.51,0.0,top
C4,0.1u,C_0402_1005Metric,120.523,-93.304,90.0,top
C5,0.1u,C_0402_1005Metric,122.682,-82.255,0.0,top
C6,0.33u,C_0603_1608Metric,114.668,-75.946,180.0,top
C7,0.1u,C_0402_1005Metric,114.836,-82.255,180.0,top
C8,0.1u,C_0402_1005Metric,109.192,-87.716,180.0,top
C9,0.1u,C_0402_1005Metric,121.412,-75.143,90.0,top
D1,LED_Small,LED_0603_1608Metric,108.458,-101.6295,90.0,top
D2,LED_Small,LED_0603_1608Metric,113.051,-90.24,0.0,top
D3,Green,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,125.975,-68.453,180.0,top
J1,XT60,AMASS_XT60-F_1x02_P7.20mm_Vertical,115.36,-64.77,0.0,top
J2,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,115.57,-100.775,0.0,top
J3,Conn_01x03,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,124.333,-75.183,90.0,top
J4,Conn_01x04,JST_XA_B04B-XASK-1_1x04_P2.50mm_Vertical,102.87,-91.459,90.0,top
J5,Conn_01x03,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,129.159,-75.183,90.0,top
J6,Conn_01x04,Molex_SPOX_5267-04A_1x04_P2.50mm_Vertical,102.87,-76.099,90.0,top
J7,Conn_01x04,Molex_SPOX_5267-04A_1x04_P2.50mm_Vertical,108.839,-76.106,90.0,top
R1,5k1,R_0402_1005Metric,114.173,-95.969,90.0,top
R10,10,R_0402_1005Metric,120.396,-70.444,0.0,top
R11,220k,R_0402_1005Metric,119.378,-71.46,180.0,top
R12,10k,R_0402_1005Metric,116.84,-77.302,90.0,top
R13,10k,C_0402_1005Metric,116.84,-79.306,-90.0,top
R14,10k,R_0402_1005Metric,124.587,-66.546,-90.0,top
R15,10k,R_0402_1005Metric,120.65,-95.844,90.0,top
R2,5k1,R_0402_1005Metric,117.854,-96.352,0.0,top
R3,4k7,R_0402_1005Metric,108.458,-99.062,-90.0,top
R4,1k,R_0402_1005Metric,115.6185,-90.494,180.0,top
R5,4k7,R_0402_1005Metric,130.3,-95.082,180.0,top
R6,4k7,R_0402_1005Metric,130.175,-82.255,0.0,top
R7,10,R_0402_1005Metric,109.14815,-86.319,180.0,top
R8,10,R_0402_1005Metric,109.65815,-84.791,90.0,top
R9,150,R_0402_1005Metric,108.64215,-84.793,-90.0,top
U1,CH340E,MSOP-10_3x3mm_P0.5mm,115.2355,-92.78,0.0,top
U2,ISO7741DWR,SOIC127P1030X265-16N,126.492,-88.664,90.0,top
U3,78L05G-AB3-R,SOT-89-3,113.711,-79.207,180.0,top
U4,SP485EEN-L/TR,NSOIC-8,113.97615,-85.811,180.0,top
U5,TC7WH241FK,VSSOP-8_2.3x2mm_P0.5mm,119.646,-74.251,-90.0,top
U6,74AHC1G08,SOT-23-5_HandSoldering,119.761,-78.826,0.0,top
U7,74AHC1G08,SOT-23-5_HandSoldering,123.571,-97.368,0.0,top
